name,protein,fat,sodium,sugars,potass,vitamins
Bran,4,1,130,6,280,25
Natural Bran,3,5,15,8,135,0
All-Bran,4,1,260,5,320,25
All-Bran with Extra Fiber,4,0,140,0,330,25
Almond Delight,2,2,200,8,0,25
Apple Cinnamon Cheerios,2,2,180,10,70,25
Apple Jacks,2,0,125,14,30,25
Basic ,3,2,210,8,100,25
Bran Chex,2,1,200,6,125,25
Bran Flakes,3,0,210,5,190,25
Cap'n'Crunch,1,2,220,12,35,25
Cheerios,6,2,290,1,105,25
Cinnamon Toast Crunch,1,3,210,9,45,25
Clusters,3,2,140,7,105,25
Cocoa Puffs,1,1,180,13,55,25
Corn Chex,2,0,280,3,25,25
Corn Flakes,2,0,290,2,35,25
Corn Pops,1,0,90,12,20,25
Count Chocula,1,1,180,13,65,25
Cracklin' Oat Bran,3,3,140,7,160,25
Cream of Wheat (Quick),3,0,80,0,0,0
Crispix,2,0,220,3,30,25
Crispy Wheat & Raisins,2,1,140,10,120,25
Double Chex,2,0,190,5,80,25
Froot Loops,2,1,125,13,30,25
Frosted Flakes,1,0,200,11,25,25
Frosted Mini-Wheats,3,0,0,7,100,25
Fruit & Fibre Dates; Walnuts; and Oats,3,2,160,10,200,25
Fruitful Bran,3,0,240,12,190,25
Fruity Pebbles,1,1,135,12,25,25
Golden Crisp,2,0,45,15,40,25
Golden Grahams,1,1,280,9,45,25
Grape Nuts Flakes,3,1,140,5,85,25
Grape-Nuts,3,0,170,3,90,25
Great Grains Pecan,3,3,75,4,100,25
Honey Graham Ohs,1,2,220,11,45,25
Honey Nut Cheerios,3,1,250,10,90,25
Honey-comb,1,0,180,11,35,25
Just Right Crunchy  Nuggets,2,1,170,6,60,100
Just Right Fruit & Nut,3,1,170,9,95,100
Kix,2,1,260,3,40,25
Life,4,2,150,6,95,25
Lucky Charms,2,1,180,12,55,25
Maypo,4,1,0,3,95,25
Muesli Raisins; Dates; & Almonds,4,3,95,11,170,25
Muesli Raisins; Peaches; & Pecans,4,3,150,11,170,25
Mueslix Crispy Blend,3,2,150,13,160,25
Multi-Grain Cheerios,2,1,220,6,90,25
Nut&Honey Crunch,2,1,190,9,40,25
Nutri-Grain Almond-Raisin,3,2,220,7,130,25
Nutri-grain Wheat,3,0,170,2,90,25
Oatmeal Raisin Crisp,3,2,170,10,120,25
Post Nat. Raisin Bran,3,1,200,14,260,25
Product 19,3,0,320,3,45,100
Puffed Rice,1,0,0,0,15,0
Puffed Wheat,2,0,0,0,50,0
Quaker Oat Squares,4,1,135,6,110,25
Quaker Oatmeal,5,2,0,0,110,0
Raisin Bran,3,1,210,12,240,25
Raisin Nut Bran,3,2,140,8,140,25
Raisin Squares,2,0,0,6,110,25
Rice Chex,1,0,240,2,30,25
Rice Krispies,2,0,290,3,35,25
Shredded Wheat,2,0,0,0,95,0
Shredded Wheat 'n'Bran,3,0,0,0,140,0
Shredded Wheat spoon size,3,0,0,0,120,0
Smacks,2,1,70,15,40,25
Special K,6,0,230,3,55,25
Strawberry Fruit Wheats,2,0,15,5,90,25
Total Corn Flakes,2,1,200,3,35,100
Total Raisin Bran,3,1,190,14,230,100
Total Whole Grain,3,1,200,3,110,100
Triples,2,1,250,3,60,25
Trix,1,1,140,12,25,25
Wheat Chex,3,1,230,3,115,25
Wheaties,3,1,200,3,110,25
Wheaties Honey Gold,2,1,200,8,60,25
